우리가 사랑한 도시,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=388084734,"<span class=""ss_p2""><em>15,750원</em></span>","<span class=""star_score"">9.0</span>"
월간순정 노자키 군 17,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=387708305,"<span class=""ss_p2""><em>5,400원</em></span>","<span class=""star_score"">10.0</span>"
마션,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=270454339,"<span class=""ss_p2""><em>17,820원</em></span>","<span class=""star_score"">9.7</span>"
소년이 온다,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=40869703,"<span class=""ss_p2""><em>13,500원</em></span>","<span class=""star_score"">9.6</span>"
급류,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=307692409,"<span class=""ss_p2""><em>12,600원</em></span>","<span class=""star_score"">6.6</span>"
만화의 원리,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=385946226,"<span class=""ss_p2""><em>21,600원</em></span>","<span class=""star_score"">9.0</span>"
위버멘쉬,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=359025448,"<span class=""ss_p2""><em>16,020원</em></span>","<span class=""star_score"">9.0</span>"
내 이름은 빨강 1,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=214241659,"<span class=""ss_p2""><em>11,700원</em></span>","<span class=""star_score"">9.8</span>"
마리아 지뷜라 메리안,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=385783066,"<span class=""ss_p2""><em>24,300원</em></span>","<span class=""star_score"">10.0</span>"
긴긴밤,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=263027170,"<span class=""ss_p2""><em>11,250원</em></span>","<span class=""star_score"">9.6</span>"
어린 임금의 눈물,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=474193,"<span class=""ss_p2""><em>13,500원</em></span>","<span class=""star_score"">9.7</span>"
"사랑을 담아, 제인 오스틴",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=385168102,"<span class=""ss_p2""><em>18,900원</em></span>","<span class=""star_score"">9.8</span>"
브람스를 좋아하세요...,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=2156605,"<span class=""ss_p2""><em>9,000원</em></span>","<span class=""star_score"">8.9</span>"
아르테미스,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=270454242,"<span class=""ss_p2""><em>17,820원</em></span>","<span class=""star_score"">8.3</span>"
팬텀 버스터즈 6,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=387670769,"<span class=""ss_p2""><em>5,850원</em></span>",
단종애사,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=385922960,"<span class=""ss_p2""><em>15,930원</em></span>","<span class=""star_score"">9.7</span>"
이야기를 들려줘요,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=383988239,"<span class=""ss_p2""><em>17,820원</em></span>","<span class=""star_score"">9.6</span>"
보이시한 여자친구가 너무 귀여워 4 (특장판),https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=388376868,"<span class=""ss_p2""><em>9,900원</em></span>",
